PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,Standard Type,Standard Relation,Standard Value,Standard Units
,,,STRING,STRING,FLOAT,STRING
,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
103175312,12560,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,F,=,35,%
103177753,2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,F,=,70,%
103177883,3121,CCCC(CCC)C(=O)O,F,=,90,%
103178942,2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,F,=,95,%
103178971,1983,CC(=O)NC1=CC=C(C=C1)O,F,=,88,%
103178995,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,F,=,100,%
103179088,6604200,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],F,=,87,%
103179319,5388962,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O,F,=,41,%
103179606,441243,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,F,=,4,%
103179819,5546,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,F,=,51,%
103181541,5095,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,F,=,55,%
